gpa,attendance,family_income,previous_scholarship,extracurricular,category,eligible
2.71,80.8,198007,1,0,general,1
2.43,99.7,226829,0,0,sc,0
3.18,90.5,109774,0,1,obc,1
3.38,73.6,71577,1,0,sc,1
2.25,77.7,54747,1,1,ews,1
3.6,62.9,198476,0,1,st,1
3.58,92.7,191748,1,1,ews,1
2.12,60.1,223930,0,1,obc,0
3.84,55.1,165970,0,0,st,1
2.14,50.9,239259,0,1,general,0
2.25,78.4,31964,0,1,ews,1
3.75,76.0,117619,0,0,st,1
2.1,94.6,69009,1,0,sc,1
3.48,62.1,191879,0,1,obc,1
2.95,79.4,116513,0,0,general,1
3.02,58.3,235784,0,1,obc,1
3.79,51.3,240215,0,0,obc,1
3.68,95.8,131521,0,1,ews,1
2.4,88.0,74841,0,0,obc,1
2.36,87.8,91397,1,1,general,1
2.04,63.7,196045,0,1,obc,0
3.75,58.2,129212,0,1,ews,1
2.51,88.8,239293,0,0,obc,0
2.61,59.0,134464,0,1,sc,0
2.37,56.9,45923,0,0,ews,0
3.66,68.6,189592,0,1,obc,1
2.59,65.1,120812,0,1,general,0
2.22,72.9,174894,0,1,ews,0
3.68,98.7,155911,0,0,sc,1
2.3,79.2,85395,1,0,general,0
2.65,98.5,170558,0,0,general,0
3.98,61.8,34254,0,1,st,1
2.99,82.7,99868,0,1,obc,0
2.92,81.8,218752,0,1,sc,1
3.55,55.6,194096,0,0,ews,1
3.99,55.4,13437,0,0,ews,1
3.71,88.5,118140,0,1,general,1
2.26,69.9,201058,0,1,obc,1
3.18,75.8,216487,0,0,st,1
2.86,64.9,158900,0,0,sc,0
3.55,92.5,109739,0,1,sc,1
2.47,77.5,172519,0,1,sc,0
3.01,54.5,16862,1,0,sc,1
2.1,51.5,110452,0,0,st,0
3.96,62.6,42043,0,0,sc,1
2.0,83.8,94109,1,1,ews,0
2.05,85.2,166067,0,0,st,0
2.32,83.0,245795,0,1,sc,1
2.61,93.8,208603,0,1,general,1
3.64,54.0,210395,0,1,obc,1
3.7,99.1,172541,1,0,sc,1
3.29,94.2,214741,0,1,ews,1
2.42,98.9,218836,0,0,obc,1
3.25,96.2,165162,0,1,st,1
3.71,60.9,182848,1,1,general,1
3.35,73.4,204766,0,0,ews,1
2.89,75.6,79410,1,1,ews,1
2.22,81.1,78010,0,0,st,1
2.55,72.4,160408,0,1,ews,0
2.68,84.5,52869,0,0,general,1
2.95,51.9,95202,1,1,ews,1
2.62,73.2,59795,1,0,st,1
3.74,94.1,38394,0,0,general,1
3.83,72.7,50864,0,0,general,1
2.68,93.7,176998,0,0,ews,1
2.56,83.0,173371,0,0,general,0
3.75,97.2,235536,1,1,general,1
2.91,92.8,196162,0,0,sc,1
3.71,70.0,103084,0,0,sc,1
3.55,98.9,245293,0,0,obc,1
2.59,54.3,131210,0,0,obc,0
2.49,80.6,115686,0,0,st,1
3.18,75.3,94390,0,0,general,1
3.22,53.5,194657,1,0,ews,1
2.82,65.8,107876,0,0,st,0
3.49,84.1,56383,0,1,general,1
2.45,89.0,98903,0,0,ews,0
3.23,93.4,230543,0,0,general,1
2.97,96.2,62499,0,1,obc,1
3.86,75.1,217296,1,0,obc,1
2.54,82.9,32234,0,1,obc,1
2.79,50.2,15996,0,0,obc,0
2.16,63.8,195510,0,1,sc,0
3.17,98.3,238120,0,1,st,1
3.37,74.6,206056,0,1,general,1
2.36,59.4,118282,1,1,obc,0
2.42,52.3,87294,1,1,obc,0
3.19,71.8,108618,0,1,obc,1
3.88,71.4,18850,0,0,general,1
3.1,85.7,118963,0,1,ews,1
2.8,58.9,243735,1,1,obc,1
2.6,84.1,156639,0,1,sc,1
2.02,56.1,207671,1,0,general,0
2.86,69.7,13462,0,1,ews,1
3.55,60.1,100142,1,0,sc,1
3.9,73.2,175591,0,0,sc,1
3.77,63.6,234833,0,0,sc,1
2.48,72.1,230553,0,0,sc,1
3.17,76.0,81487,0,1,obc,1
2.73,57.5,232382,0,0,obc,0
3.69,55.5,37743,0,1,sc,1
2.56,72.1,136527,0,0,ews,0
3.01,94.4,181870,0,0,sc,1
3.76,85.5,247541,1,0,obc,1
2.43,56.0,64137,0,1,obc,0
3.63,87.4,40361,1,0,sc,1
2.55,94.0,169330,0,0,obc,1
3.43,64.3,137962,0,1,sc,1
3.26,57.7,197785,0,1,ews,1
3.72,52.7,70341,1,0,obc,1
3.19,89.2,202484,0,0,sc,1
2.48,99.0,161007,0,1,ews,0
2.72,85.7,65060,0,0,general,1
2.47,50.5,14797,0,0,ews,0
3.25,53.5,52180,1,1,ews,1
2.93,60.4,194772,1,1,st,1
2.62,58.0,70288,0,1,ews,0
3.84,55.2,120049,1,1,general,1
3.19,61.2,230203,0,0,general,0
2.44,83.1,74218,0,0,sc,1
3.55,82.5,212130,0,0,sc,1
2.41,86.3,191684,0,0,general,0
3.2,71.9,153791,1,1,st,1
3.27,80.5,199726,0,1,obc,1
2.01,92.6,28166,0,1,general,1
3.79,59.5,145689,1,0,st,1
2.63,69.9,112154,1,0,ews,1
2.32,99.0,203987,0,1,ews,1
3.63,63.7,25395,0,1,obc,1
2.34,58.1,227793,0,1,ews,0
3.25,67.9,104071,0,0,ews,1
2.91,75.3,154218,0,0,st,1
2.7,85.9,212328,0,0,general,1
3.87,70.7,135244,0,1,sc,1
2.82,87.9,210825,0,1,ews,1
3.38,82.2,156268,1,1,st,1
2.05,80.7,188860,0,0,st,0
3.02,91.8,95056,0,1,general,1
2.23,96.3,54868,1,0,sc,1
3.25,65.3,37340,0,1,obc,1
2.88,60.7,197816,1,0,st,1
2.44,73.9,97677,0,0,st,0
2.45,92.1,181763,0,0,sc,1
2.66,91.7,30509,0,1,st,1
3.32,54.4,245786,0,0,obc,0
2.65,79.5,85406,0,1,obc,0
2.25,70.8,157758,0,0,sc,0
2.25,66.6,164565,0,1,sc,0
2.35,52.4,70731,0,0,general,0
3.32,69.2,152074,0,0,general,0
2.05,76.5,119429,0,1,st,0
2.24,83.7,40317,1,0,st,1
3.51,77.1,248318,0,0,ews,1
2.34,51.0,246078,1,0,general,0
2.9,62.3,45590,1,0,st,1
2.75,51.9,91954,0,0,ews,0
2.2,55.1,114000,0,0,obc,0
2.39,61.8,244046,1,0,st,0
3.42,81.3,185151,0,0,general,1
2.28,64.7,38076,0,0,ews,0
3.02,60.1,142896,1,0,general,1
2.52,90.2,117831,1,1,sc,1
2.85,59.7,247635,0,0,sc,0
2.74,52.5,186106,1,1,ews,1
3.91,93.8,153800,1,0,st,1
3.15,86.0,188730,0,1,general,1
3.97,68.9,237645,0,1,general,1
2.61,80.4,188088,0,1,ews,1
3.52,79.2,79104,0,0,st,1
3.11,80.7,191250,0,0,sc,1
4.0,64.7,240981,0,0,general,1
3.28,67.3,43907,0,1,ews,1
2.66,54.3,201076,1,0,sc,0
2.29,80.1,72222,0,0,st,1
3.49,62.3,118390,0,1,general,1
3.33,91.5,68299,0,0,ews,1
3.16,64.9,101673,0,1,general,1
2.41,95.7,110724,0,1,sc,1
3.86,79.8,89999,0,1,obc,1
2.15,57.1,201400,1,1,st,0
3.57,91.4,17576,0,1,ews,1
3.19,82.5,135998,0,1,sc,1
3.66,61.0,204251,1,0,sc,1
3.56,54.3,59155,0,1,general,1
2.78,98.9,13398,0,0,obc,1
2.65,84.4,34848,0,0,general,1
2.29,77.6,105412,0,0,sc,0
3.64,63.4,38089,0,0,sc,1
2.94,51.6,42299,0,0,st,1
2.98,89.3,18702,1,1,general,1
3.63,96.4,46919,0,0,sc,1
2.85,86.6,75357,1,0,general,1
2.31,56.5,101614,1,1,st,0
2.54,91.3,107913,0,0,ews,1
3.15,87.4,224923,1,0,general,1
3.29,59.6,43855,0,0,general,1
3.48,52.8,88096,1,0,st,1
2.19,81.6,165594,1,0,general,0
2.26,60.5,35028,0,1,obc,0
2.0,67.5,234182,1,1,ews,0
2.29,70.6,161648,0,1,sc,1
2.65,93.0,96422,1,0,ews,1
2.51,58.6,163195,0,1,obc,0
2.8,89.3,49834,0,0,obc,1
2.65,55.5,60632,0,0,st,0
3.14,72.2,80062,0,1,ews,1
3.83,65.3,44637,1,1,general,1
3.68,75.9,211339,1,1,ews,1
3.21,68.5,188871,1,0,general,1
3.2,77.5,149532,1,1,ews,1
2.91,64.4,243385,0,0,general,0
3.76,65.1,145267,0,0,ews,1
2.73,55.1,75893,1,0,general,1
2.31,59.7,147348,0,0,st,0
3.73,66.3,13053,1,1,general,1
3.5,84.9,141484,0,1,ews,1
3.9,78.4,28520,0,1,ews,1
3.58,79.2,148784,0,1,general,1
2.83,78.7,131382,0,0,obc,0
3.82,77.4,114310,0,1,obc,1
3.42,52.4,119667,0,1,sc,1
2.45,72.0,31974,0,0,st,0
2.62,82.1,51034,0,1,sc,1
3.54,52.9,164799,0,0,ews,0
2.14,55.7,111713,0,1,sc,0
3.13,69.6,41636,1,0,sc,1
2.16,71.7,78659,1,0,general,1
2.72,64.4,240646,1,1,ews,1
3.49,70.9,136579,0,0,general,1
3.39,62.9,154526,0,1,st,1
3.74,68.1,161973,0,1,obc,1
3.16,87.7,103559,1,0,ews,1
3.17,71.0,210022,0,0,general,0
3.78,77.3,32295,0,1,general,1
2.25,95.0,170740,0,1,st,1
2.13,87.9,170297,0,1,obc,0
2.12,80.8,141205,0,1,sc,0
2.21,59.9,134544,1,0,st,0
3.53,53.2,85419,1,1,general,1
3.3,66.1,110237,0,0,st,1
3.36,94.8,190511,1,1,general,1
3.83,69.0,68668,0,1,sc,1
3.36,53.4,12698,1,1,general,1
2.07,69.1,81575,1,0,sc,1
2.29,74.7,114686,0,0,ews,0
3.49,96.6,207603,0,0,obc,1
2.7,87.3,206039,1,0,st,1
2.45,51.9,176387,0,1,sc,0
3.99,99.7,55623,1,0,obc,1
3.76,90.7,199143,0,1,st,1
2.26,55.7,225663,0,0,sc,0
3.32,69.8,224023,0,1,obc,1
3.02,86.3,221173,1,0,sc,1
3.03,53.7,165302,0,0,sc,0
2.6,60.1,91545,0,1,ews,0
3.44,58.7,119948,0,1,ews,1
3.05,89.6,104888,0,0,sc,1
3.1,54.8,228328,0,0,st,1
2.75,66.6,157802,0,0,ews,0
3.88,61.0,180319,1,1,general,1
2.05,62.6,113483,1,1,general,0
3.11,62.6,123905,0,1,sc,0
3.35,66.6,100159,0,0,st,1
3.27,64.5,149247,0,0,general,0
3.21,58.8,16971,0,0,sc,1
3.57,98.0,97051,0,0,obc,1
3.69,54.2,39996,0,0,st,1
2.06,88.9,82941,1,0,general,0
3.67,51.4,179287,1,0,general,1
3.27,81.2,150062,0,1,ews,1
3.06,63.6,161008,0,1,ews,1
3.74,64.6,138867,0,1,obc,1
3.12,58.5,131109,1,1,st,1
3.98,62.4,215275,0,0,ews,1
2.48,69.7,163353,1,1,sc,1
2.3,90.8,224335,0,0,general,0
2.74,82.6,228205,0,0,ews,0
2.86,82.1,202717,0,1,obc,1
2.03,57.8,246094,0,1,obc,0
3.55,64.3,94912,1,0,sc,1
3.07,99.8,54565,0,1,st,1
2.32,83.3,227757,0,1,obc,1
3.33,68.3,147809,0,1,general,1
2.22,84.4,174505,1,1,st,1
3.16,90.8,27048,1,0,st,1
2.12,74.9,158835,1,1,sc,1
3.52,85.2,231018,0,0,general,1
2.31,91.2,134341,1,1,sc,1
2.27,93.9,42553,1,0,st,1
3.85,58.7,112645,0,0,ews,1
3.99,93.8,121800,0,0,st,1
2.91,50.3,190664,1,0,sc,0
2.79,54.8,87522,0,0,ews,0
3.7,61.3,74650,0,0,general,1
3.62,94.3,188201,0,0,sc,1
2.66,93.5,85313,0,0,obc,1
3.84,52.5,112877,0,1,general,1
3.25,67.9,223545,1,0,general,1
3.15,54.2,236287,1,0,general,1
2.7,86.5,174709,0,1,general,0
3.94,68.7,114033,0,1,general,1
3.11,59.9,142275,1,0,st,0
3.96,56.5,22275,0,0,ews,1
2.52,97.6,144903,1,0,obc,1
3.73,50.0,66721,0,1,general,1
2.13,65.9,133078,0,0,ews,0
2.57,82.1,86065,0,0,sc,0
3.91,59.5,218626,0,0,general,1
2.19,82.0,75207,0,1,sc,1
3.84,86.7,194431,0,0,st,1
2.85,54.9,142476,0,0,obc,0
3.38,78.1,231182,0,1,ews,1
3.2,73.0,242799,0,1,ews,1
2.78,71.4,198502,1,1,obc,1
2.74,71.5,17390,0,1,general,1
2.4,86.4,17190,0,1,sc,1
3.68,56.8,221092,0,0,general,1
3.58,57.4,244973,1,0,obc,1
2.29,83.9,104232,0,0,ews,0
2.06,87.5,94127,0,0,ews,0
3.07,84.8,101651,0,0,general,0
3.13,57.3,146788,0,0,obc,0
2.9,71.7,121719,0,1,st,0
2.7,53.8,160139,0,1,obc,0
3.28,58.9,113470,1,0,general,1
3.88,98.2,96311,0,1,sc,1
2.86,67.9,82216,1,1,st,1
2.96,62.3,34729,0,0,st,1
2.91,91.9,55967,1,0,general,1
2.92,61.1,158716,0,0,obc,0
2.42,82.8,57550,0,1,sc,1
2.78,54.3,249301,0,0,st,0
2.67,94.5,131003,1,1,sc,1
2.26,89.8,87241,0,0,st,0
2.41,75.0,212840,0,1,obc,0
3.39,92.4,28236,0,0,ews,1
3.9,57.6,45065,0,0,sc,1
2.98,80.0,246412,0,1,ews,1
3.2,59.2,214269,0,0,st,0
3.02,73.5,213117,0,0,sc,0
2.3,85.7,137463,1,1,st,1
2.57,81.9,242138,0,0,st,1
3.55,96.0,36367,0,0,sc,1
3.02,73.6,146712,0,0,ews,1
3.74,68.0,160821,0,1,obc,1
3.95,85.2,212703,0,0,ews,1
2.58,73.1,134109,1,1,sc,1
2.35,93.9,135665,0,1,ews,1
2.27,81.3,246498,0,1,ews,0
3.59,57.8,17108,1,0,obc,1
2.0,76.2,48143,0,1,general,0
3.3,60.6,112320,1,0,general,1
3.07,57.9,34839,0,1,obc,1
2.68,76.4,177381,1,0,sc,1
2.23,69.7,42847,0,0,obc,1
2.22,95.8,135947,0,0,obc,1
3.71,78.8,189918,1,1,obc,1
2.45,57.7,71421,0,1,sc,1
2.59,64.2,231758,0,1,obc,0
2.94,86.2,204476,0,0,obc,1
3.43,63.3,22058,1,0,obc,1
3.91,93.3,202162,0,1,obc,1
2.23,52.3,227360,0,0,sc,0
3.51,73.3,247914,0,1,st,1
2.51,83.0,121236,1,0,general,0
3.7,58.0,89345,0,0,st,0
2.75,79.3,172324,0,1,st,1
3.55,52.0,226000,0,1,st,1
3.57,57.4,197642,1,0,general,1
3.46,82.6,192033,0,1,ews,1
2.09,61.0,35900,1,0,ews,0
3.03,54.2,81347,1,1,ews,1
2.9,58.6,122686,0,0,general,0
3.78,62.3,48889,0,0,st,1
2.07,78.0,22240,0,1,sc,1
3.68,53.9,203101,0,1,general,1
3.75,61.5,42662,0,0,obc,1
2.88,84.5,182864,0,1,obc,1
3.4,76.6,225893,0,0,sc,1
3.52,98.4,15319,1,1,st,1
2.36,74.0,188804,0,1,ews,0
3.03,62.7,189178,0,1,sc,1
2.53,54.7,31363,0,0,ews,0
2.32,86.6,30695,1,0,general,1
2.02,85.8,110051,0,0,ews,0
2.25,70.6,55127,0,0,st,0
2.55,50.1,15336,0,1,obc,0
3.17,60.1,101474,0,0,sc,1
3.16,89.6,119473,0,1,ews,1
2.77,51.2,180676,0,0,st,0
2.2,53.6,83318,1,0,general,0
3.98,83.5,131497,0,0,obc,1
3.92,89.4,71612,0,1,obc,1
3.7,62.8,183131,1,0,sc,1
3.69,68.4,70353,0,0,ews,1
2.27,71.8,249099,0,0,st,0
3.78,79.7,21355,0,0,st,1
3.77,77.9,121066,0,0,obc,1
3.64,72.8,18014,0,0,ews,1
3.11,61.7,83268,1,0,sc,1
2.99,58.3,115350,0,0,obc,0
3.71,65.6,30951,0,1,sc,1
3.68,81.3,97829,0,0,obc,1
2.26,71.2,18905,0,0,ews,0
3.16,90.3,141848,1,1,obc,1
3.95,50.7,230131,1,0,obc,1
2.72,53.0,193631,0,0,general,0
3.05,72.8,38762,0,0,sc,1
3.82,71.9,212545,1,1,general,1
2.49,52.2,75260,1,1,obc,1
3.29,91.6,97599,1,0,obc,1
3.17,73.2,229081,0,0,st,1
3.1,67.7,131449,0,0,sc,1
2.12,82.8,32270,0,1,obc,1
3.69,68.7,199445,0,1,ews,1
3.11,88.6,244426,0,0,general,1
3.33,74.7,213206,1,1,ews,1
3.9,71.2,215226,0,0,sc,1
2.21,75.1,106693,0,0,general,0
3.94,82.9,245774,0,0,st,1
3.12,50.7,165759,0,1,st,1
3.24,62.9,200568,0,0,st,1
3.27,99.2,224190,0,1,st,1
2.68,80.1,199356,0,0,general,0
3.91,99.8,210544,0,0,ews,1
2.67,61.7,54780,0,0,ews,1
3.81,54.3,32814,0,0,ews,1
2.09,82.4,172067,0,1,obc,0
2.7,61.3,111832,0,0,obc,0
2.22,53.1,220798,0,1,sc,0
3.91,71.3,179485,0,1,ews,1
2.64,53.2,192332,0,0,ews,0
2.03,80.1,135967,0,0,st,0
2.63,73.9,166117,1,1,st,1
2.74,87.4,68295,0,1,sc,1
3.31,64.0,179189,1,1,obc,1
3.02,66.7,65082,0,1,general,1
3.95,62.1,110589,0,1,sc,1
3.41,95.3,221906,0,0,obc,1
2.99,77.4,81291,0,1,obc,1
3.43,85.8,211184,0,1,st,1
3.26,85.8,19771,0,1,obc,1
3.82,67.8,91529,0,0,general,1
3.13,76.9,214788,0,1,general,1
2.72,62.4,212942,0,0,st,0
2.39,89.3,12678,1,1,sc,1
3.53,65.8,246124,0,0,sc,1
2.12,56.4,29043,1,0,ews,0
3.68,86.7,137484,1,1,ews,1
3.8,79.9,57075,1,0,obc,1
2.11,50.1,148405,0,1,obc,0
3.44,62.2,207802,0,0,st,1
3.11,99.3,132826,0,0,st,1
2.5,80.6,246110,0,0,st,1
2.25,58.3,131108,0,1,sc,0
3.85,83.0,16561,0,0,general,1
3.92,69.1,89925,0,0,ews,1
2.44,68.5,246941,0,0,obc,0
2.28,79.2,85020,0,0,obc,0
2.12,68.8,41885,0,1,st,0
3.42,83.3,198217,0,0,ews,1
2.92,61.4,119636,0,1,st,1
3.68,89.7,221651,0,1,ews,1
2.54,59.1,244983,0,1,ews,0
3.54,83.8,20406,0,0,ews,1
2.02,67.0,204275,0,0,ews,0
2.09,82.1,245459,0,0,obc,0
3.17,84.0,26915,1,1,obc,1
3.38,61.5,81851,0,0,sc,1
3.74,64.5,244033,0,0,st,1
2.61,72.5,114737,0,0,sc,0
3.35,56.8,128199,0,0,ews,1
3.43,88.3,107378,1,1,general,1
3.53,86.4,85029,0,1,sc,1
3.16,90.4,45981,1,1,sc,1
2.33,79.3,95728,0,1,obc,1
2.83,85.9,168654,0,0,general,1
3.09,86.8,56851,0,0,sc,1
3.95,96.1,151637,0,0,ews,1
2.71,53.4,21039,0,0,obc,0
3.32,76.3,125325,0,0,ews,1
3.91,56.5,108002,0,1,st,1
2.01,99.1,220369,0,0,sc,1
2.35,81.2,148978,1,1,obc,1
3.63,53.4,228718,0,0,sc,1
2.43,59.9,49643,0,1,obc,1
2.05,66.0,215015,1,0,general,0
2.39,68.7,194511,1,0,sc,0
2.96,92.3,238861,0,1,obc,1
2.93,99.4,45880,0,1,st,1
